s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 3.9900046E+003, 0.0000000E+000, 0.0000000E+000, 3.7395769E-001,-3.7524439E+000, 3.2817330E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1683990E-002,-9.6753247E-002,-2.3614642E-006
 4.0200024E+003, 0.0000000E+000, 0.0000000E+000, 3.7364586E-001,-3.7360514E+000, 3.2965773E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2312633E-003,-6.5828263E-002, 1.0654463E-006
 4.0500054E+003, 0.0000000E+000, 0.0000000E+000, 3.7159312E-001,-3.7174885E+000, 3.2748402E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5613864E-002,-7.1055192E-002, 1.5890498E-006
 4.0800032E+003, 0.0000000E+000, 0.0000000E+000, 3.7103202E-001,-3.6669081E+000, 3.2655266E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1642181E-004,-3.0349415E-002,-1.8652807E-007
 4.1100005E+003, 0.0000000E+000, 0.0000000E+000, 3.7134894E-001,-3.7046005E+000, 3.2105346E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0934364E-001,-1.2271693E-001,-8.2654376E-007
 4.1400039E+003, 0.0000000E+000, 0.0000000E+000, 3.7220602E-001,-3.7184650E+000, 3.2609591E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3199726E-002,-8.5299866E-002,-1.0616651E-007
 4.1700015E+003, 0.0000000E+000, 0.0000000E+000, 3.7038998E-001,-3.6402691E+000, 3.2535700E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2971023E-002,-1.6309160E-002, 9.1954803E-007
 4.2000044E+003, 0.0000000E+000, 0.0000000E+000, 3.6943355E-001,-3.6365570E+000, 3.2065722E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4426799E-002,-6.0551224E-002,-1.5251279E-006
 4.2300020E+003, 0.0000000E+000, 0.0000000E+000, 3.6848321E-001,-3.7667203E+000, 3.2801350E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4855739E-002,-1.1810208E-001, 9.4289650E-003
 4.2600054E+003, 0.0000000E+000, 0.0000000E+000, 3.6722106E-001,-3.7619656E+000, 3.3013396E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9704412E-003,-9.3404845E-002, 2.5875913E-006
 4.2900029E+003, 0.0000000E+000, 0.0000000E+000, 3.6595091E-001,-3.6947434E+000, 3.2700312E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4844564E-002,-5.8761263E-002,-3.1083458E-006
 4.3200005E+003, 0.0000000E+000, 0.0000000E+000, 3.6553399E-001,-3.7562125E+000, 3.2582034E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3539475E-002,-1.3247507E-001, 1.2803968E-006
 4.3500034E+003, 0.0000000E+000, 0.0000000E+000, 3.6723024E-001,-3.7064882E+000, 3.2564115E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9414280E-002,-8.2846421E-002, 3.5837250E-007
 4.3800010E+003, 0.0000000E+000, 0.0000000E+000, 3.6518686E-001,-3.6924410E+000, 3.2895409E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0226935E-002,-3.7713238E-002,-8.1501804E-007
 4.4100044E+003, 0.0000000E+000, 0.0000000E+000, 3.6431341E-001,-3.7371692E+000, 3.2659689E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9458364E-002,-1.0688690E-001,-7.0862389E-007
 4.4400020E+003, 0.0000000E+000, 0.0000000E+000, 3.6552295E-001,-3.6907679E+000, 3.2858989E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0364395E-002,-3.9346050E-002, 1.9084249E-006
 4.4700049E+003, 0.0000000E+000, 0.0000000E+000, 3.6193140E-001,-3.6337148E+000, 3.2551531E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0910259E-002,-1.6630239E-002,-1.9681569E-006
 4.5000000E+003, 0.0000000E+000, 0.0000000E+000, 3.6178791E-001,-3.6672487E+000, 3.2068756E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4541267E-002,-9.8585178E-002,-9.8532491E-008
